human_symbol	yeast_sgd
ACTR2	YFL039C
ACTR2	YHR129C
ACTR3	YJR065C
ACTR3B	YJR065C
ACTR5	YNL059C
ACTR6	YLR085C
ACTR8	YOR141C
ADA	YNL141W
ADAT2	YJL035C
ADAT3	YLR316C
ADC	YJL010C
ADCK1	YLR253W
ADCK2	YPL109C
ADCK5	YLR253W
ADH1A	YDL168W
ADH1B	YDL168W
ADH1C	YDL168W
ADH4	YDL168W
ADH5	YDL168W
ADHFE1	YGL256W
ADI1	YMR009W
ADIPOR1	YDR492W
ADIPOR1	YOL002C
ADIPOR2	YDR492W
ADIPOR2	YOL002C
ADK	YJR105W
ADSL	YLR359W
ADSS1	YNL220W
ADSS2	YNL220W
AEN	YOL080C
AF REDUCTASE	YBR149W
AF REDUCTASE	YDR368W
AF REDUCTASE	YJR096W
AF REDUCTASE	YOR120W
AFF1	YBR108W
AFG1L	YEL052W
AFG2A	YLR397C
AFG3L2	YER017C
AFG3L2	YMR089C
AGL	YPR184W
AGPAT1	YDL052C
AGPAT2	YDL052C
AGPAT3	YBR042C
AGPAT3	YDR018C
AGPAT4	YBR042C
AGPAT4	YDR018C
AGPAT5	YBR042C
AGXT	YFL030W
AGXT2	YOL140W
AHCY	YER043C
AHSA1	YDR214W
AHSA2P	YDR214W
AIM-1	YPL209C
AK1	YKL024C
AK2	YDR226W
AK3	YER170W
AK4	YER170W
AK6	YDL166C
AKR1A1	YBR149W
AKR1A1	YDR368W
AKR1A1	YHR104W
AKR1A1	YJR096W
AKR1A1	YOR120W
AKR1B1	YBR149W
AKR1B1	YDR368W
AKR1B1	YHR104W
AKR1B1	YJR096W
AKR1B1	YOR120W
AKR1B10	YBR149W
AKR1B10	YDR368W
AKR1B10	YHR104W
AKR1B10	YJR096W
AKR1B10	YOR120W
AKR1B15	YBR149W
AKR1B15	YDR368W
AKR1B15	YHR104W
AKR1B15	YJR096W
AKR1B15	YOR120W
AKR1C1	YBR149W
AKR1C1	YDR368W
AKR1C1	YHR104W
AKR1C1	YJR096W
AKR1C1	YOR120W
AKR1C2	YBR149W
AKR1C2	YDR368W
AKR1C2	YHR104W
AKR1C2	YJR096W
AKR1C2	YOR120W
AKR1C3	YBR149W
AKR1C3	YDR368W
AKR1C3	YHR104W
AKR1C3	YJR096W
AKR1C3	YOR120W
AKR1C4	YHR104W
AKR1C8	YBR149W
AKR1C8	YDR368W
AKR1C8	YHR104W
AKR1C8	YJR096W
AKR1C8	YOR120W
AKR1C8P	YBR149W
AKR1C8P	YDR368W
AKR1C8P	YJR096W
AKR1C8P	YOR120W
AKR1D1	YBR149W
AKR1D1	YDR368W
AKR1D1	YHR104W
AKR1D1	YJR096W
AKR1D1	YOR120W
AKR1E2	YBR149W
AKR1E2	YDR368W
