target_id	target_family	model_direction_score
OR8H3	gpcr	0.3611
OR6V1	gpcr	0.3987
OR8H2	gpcr	0.3352
OR2L13	gpcr	0.3557
VN1R2	gpcr	0.4087
OR5T1	gpcr	0.3647
OR2T33	gpcr	0.3834
OR2T12	gpcr	0.4074
OR8G5	gpcr	0.4096
OR2L5	gpcr	0.4191
OR2M7	gpcr	0.3636
OR2M3	gpcr	0.3375
OR2AK2	gpcr	0.3989
OR2L3	gpcr	0.3902
OR13H1	gpcr	0.4005
OR11H1	gpcr	0.3697
OR7G3	gpcr	0.3762
OR2Z1	gpcr	0.4025
OR7G2	gpcr	0.3817
OR1M1	gpcr	0.3858
OR7A2P	gpcr	
OR10H4	gpcr	0.3802
OR10H5	gpcr	0.416
OR4F17	gpcr	0.4243
OR4C5	gpcr	0.4288
OR4S1	gpcr	0.4089
OR4M2	gpcr	0.4054
OR4F15	gpcr	0.3791
OR4F6	gpcr	0.3635
OR5AU1	gpcr	0.3661
OR11G2	gpcr	0.3957
OR4E2	gpcr	0.3913
OR10G2	gpcr	0.3814
OR6J1	gpcr	0.3927
OR4K17	gpcr	0.3899
OR11H6	gpcr	0.3819
OR11H4	gpcr	0.3865
OR4N2	gpcr	0.3291
OR4K2	gpcr	0.3716
OR4K5	gpcr	0.3886
OR4K1	gpcr	0.3733
OR4K14	gpcr	0.4038
OR10AD1	gpcr	0.4397
OR6C4	gpcr	0.4015
OR2AP1	gpcr	0.4177
OR10A7	gpcr	0.4068
OR9K2	gpcr	0.4161
OR4D9	gpcr	0.3942
OR9Q2	gpcr	0.3937
OR52B6	gpcr	0.3808
OR52R1	gpcr	0.3595
OR51D1	gpcr	0.3629
OR5AP2	gpcr	0.3951
OR10W1	gpcr	0.3804
OR5B17	gpcr	0.3857
OR4B1	gpcr	0.3902
OR4X2	gpcr	0.3668
OR8J3	gpcr	0.3631
OR8J2	gpcr	0.3938
OR5T3	gpcr	0.3668
OR8H1	gpcr	0.4002
OR8K1	gpcr	0.405
OR8B12	gpcr	0.4029
OR8A1	gpcr	0.3622
OR8B3	gpcr	0.395
OR2D3	gpcr	0.3964
OR56A1	gpcr	0.3551
OR52L2P	gpcr	
OR56A4	gpcr	0.4313
OR52E4	gpcr	0.3881
OR52N2	gpcr	0.3884
OR56B2	gpcr	
OR56B1	gpcr	0.3714
OR4D11	gpcr	0.4094
OR4D10	gpcr	0.3824
OR10V1	gpcr	0.4139
OR5A2	gpcr	0.4119
OR5A1	gpcr	0.3797
OR4D6	gpcr	0.3948
OR52H1	gpcr	0.3586
OR52E1	gpcr	0.3951
OR52E2	gpcr	0.205
OR51L1	gpcr	0.3855
OR51A4	gpcr	0.3669
