target_id	model_direction_score	models_used
KCNA2	0.4057	scfoundation
KCNA3	0.3699	scfoundation
KCNA4	0.3818	scfoundation
KCNA5	0.3772	scfoundation
KCNA6	0.3575	scfoundation
KCNA7	0.4277	scfoundation
KCNAB3	0.3686	scfoundation
KCNB1	0.386	scfoundation
KCNB2	0.3489	scfoundation
KCNC1	0.3635	scfoundation
KCNC2	0.3843	scfoundation
KCNC3	0.3716	scfoundation
KCNC4	0.3757	scfoundation
KCND1	0.3848	scfoundation
KCND2	0.3909	scfoundation
KCND3	0.3843	scfoundation
KCNE1	0.3814	scfoundation
KCNE2	0.4307	scfoundation
KCNE4	0.3715	scfoundation
KCNF1	0.3834	scfoundation
KCNG1	0.3772	scfoundation
KCNG2	0.3315	scfoundation
KCNG3	0.4031	scfoundation
KCNG4	0.42	scfoundation
KCNH1	0.3973	scfoundation
KCNH2	0.391	scfoundation
KCNH3	0.3808	scfoundation
KCNH4	0.4609	scfoundation
KCNH5	0.3669	scfoundation
KCNH6	0.3457	scfoundation
KCNH7	0.3827	scfoundation
KCNH8	0.3198	scfoundation
KCNIP1	0.3782	scfoundation
KCNIP2	0.4	scfoundation
KCNIP3	0.3174	scfoundation
KCNIP4	0.3673	scfoundation
KCNJ1	0.3866	scfoundation
KCNJ10	0.4073	scfoundation
KCNJ11	0.4179	scfoundation
KCNJ12	0.3687	scfoundation
KCNJ13	0.3523	scfoundation
KCNJ14	0.3798	scfoundation
KCNJ15	0.4199	scfoundation
KCNJ16	0.3792	scfoundation
KCNJ18	0.3883	scfoundation
KCNJ2	0.43	scfoundation
KCNJ3	0.3761	scfoundation
KCNJ4	0.3658	scfoundation
KCNJ5	0.3973	scfoundation
KCNJ6	0.3881	scfoundation
KCNJ8	0.4021	scfoundation
KCNJ9	0.3665	scfoundation
KCNK1	0.401	scfoundation
KCNK10	0.4037	scfoundation
KCNK12	0.413	scfoundation
KCNK13	0.3884	scfoundation
KCNK15	0.3941	scfoundation
KCNK16	0.4168	scfoundation
KCNK17	0.3832	scfoundation
KCNK18	0.3704	scfoundation
KCNK2	0.3768	scfoundation
KCNK3	0.434	scfoundation
KCNK4	0.3806	scfoundation
KCNK5	0.4037	scfoundation
KCNK6	0.3626	scfoundation
KCNK7	0.4287	scfoundation
KCNK9	0.3718	scfoundation
KCNMA1	0.37	scfoundation
KCNMB1	0.3831	scfoundation
KCNMB2	0.3583	scfoundation
