tier	priority	inchikey	chembl_id	task_target	family	rho	q	dose_uM	smiles	orf	task_rank	task_cosine	compound_z	library_reference	predicted_direction	control_role	compound_name	gene_common_name	essentiality	strain_collection	pair_id
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YGR016C-A	6732	0.2747		not_quantified_in_library		bottom_task_control	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
3	2	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		STING1	ion_channel	0.2511850138936312	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YDL204W-A	6733	0.2747		not_quantified_in_library		bottom_task_control	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one		unknown	verify_before_use	T3-P002
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YGL053W	1	0.97281	-0.061687055975198746	measured_in_library	hypersensitive	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	PRM8	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YBR240C	2	0.97103	0.15966695547103882	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	THI2	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YGL146C	3	0.9703	0.16578496992588043	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	RRT6	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YAR031W	4	0.97019	0.038965027779340744	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	PRM9	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YOR299W	5	0.96974	0.1585180163383484	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	BUD7	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YJR161C	6	0.96918		not_quantified_in_library		top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	COS5	unknown	verify_before_use	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YLR019W	7	0.96886	0.12476282566785812	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	PSR2	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YNR075W	8	0.9687	0.1586761623620987	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	COS10	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YDR436W	9	0.96861	0.23762694001197815	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	PPZ2	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YFR029W	10	0.96831	0.18613888323307037	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	PTR3	essential	heterozygous diploid deletion (HIP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YKL219W	11	0.96799	0.10839936882257462	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	COS9	unknown	verify_before_use	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YDL248W	12	0.96791	0.2107076346874237	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	COS7	unknown	verify_before_use	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YLR054C	13	0.9676	-0.26369166374206543	measured_in_library	hypersensitive	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	OSW2	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YCR007C	14	0.96751	-0.09196735918521881	measured_in_library	hypersensitive	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	DFP3	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
3	3	RVWWDDKOKZXKCJ-UHFFFAOYSA-N		GPR149	gpcr	0.2418712531107737	0.0	54	COC1=C(C(=C2C(=C1)C=CC(=O)O2)O)OC3C(C(C(C(O3)CO)O)O)O	YIL024C	15	0.96737	0.6902432441711426	measured_in_library	resistant	top_task	8-Hydroxy-6-methoxy-7-[3,4,5-trihydroxy-6-(hydroxymethyl)oxan-2-yl]oxychromen-2-one	ATG45	nonessential	homozygous diploid deletion (HOP-type)	T3-P003
