inchikey	n_sig_tasks	n_tier1	n_tier2	n_tier3	max_rho	min_q	chembl_id	n_chembl_genes	top_chembl_genes	smiles
FSFQJJHNIYFCNG-UHFFFAOYSA-N	2	0	0	2	0.0669102619553634	0.0		0		
FSSICIQKZGUEAE-UHFFFAOYSA-N	4	0	4	0	0.1062144069040059	0.0	CHEMBL1200446	5	LMNA SMN1 SMN2 KDM4E MAPK1	
FVGJEPSFEJDNOC-UHFFFAOYSA-N	1	0	0	1	0.0985975506861114	0.0		0		
FWCHESSKLZHMFP-UHFFFAOYSA-N	1	0	0	1	0.0405431742436415	0.0		0		
FXNFHKRTJBSTCS-UHFFFAOYSA-N	3	0	3	0	0.0189506516551939	0.0	CHEMBL8260	92	Alox15 rep Alox15b CYP1B1 CYP1A2	
FXROTDSWXRSXMK-UHFFFAOYSA-N	1	0	0	1	0.0424969290511652	0.0		0		
FXVLVWKINHGWJV-UHFFFAOYSA-N	2	0	0	2	0.0825686576800145	0.0		0		
FYSMOEOZZBNLFA-UHFFFAOYSA-N	1	0	0	1	0.0363694247054415	0.0		0		
FZYOVNIOYYPUPY-AMSHPFMVSA-N	81	0	0	81	0.0832120270690923	0.0		0		
GBYDSYPGGDKWGZ-UHFFFAOYSA-N	1	0	0	1	0.0235883331820429	0.0		0		
GCEWJBIDLIIRAB-UHFFFAOYSA-N	56	0	56	0	0.0302450816800324	0.0	CHEMBL1433337	3	TGR Rorc F12 CBX1 EHMT2	
GCWFAWCUZHGDPU-UHFFFAOYSA-N	1	0	0	1	0.0345065235141648	0.0		0		
GDJHGJSTQODXMC-UHFFFAOYSA-N	6	0	0	6	0.0185676733692512	0.0		0		
GDLBFKVLRPITMI-UHFFFAOYSA-N	7	0	7	0	0.0561772878167302	0.0	CHEMBL181	14	LMNA ALDH1A1 FTL SMN1 SMN2	
GDMKOCOXYTXOAP-GDNBJRDFSA-N	1	0	0	1	0.0187303736578814	0.0		0		
GDXZHLKFMSQXJN-BJILWQEISA-N	3	0	0	3	0.0196992588566953	0.0		0		
GEFLGAHYWXRJBV-UVTDQMKNSA-N	1	0	0	1	0.0429669692014159	0.0		0		
GEHJIACZUFWBTK-UHFFFAOYSA-N	1	0	1	0	0.0923092678293981	0.0	CHEMBL249089	13	MYLK NFKB1 lef TSHR CYP1A2	
GHNKQXUBBRYYOC-UHFFFAOYSA-N	81	0	0	81	0.0325789769723566	0.0		0		
